;descriptions;titles;wages;locations;employment_types;job_times;offer_urls
10;Przedszkole niepubliczne na Jeżycach zatrudni nauczyciela wychowania przedszkolnego. Etat. Wymagane wykształcenie kierunkowe.Oferta również dla studenta kończącego minimum licencjat.Proszę o przesyłanie CV w odpowiedzi na ofertę przez OLX.Inne formy kontaktu nie będą akceptowane.Uwaga! Kontakt wyłącznie z wybranymi osobami.;['Przedszkole niepubliczne zatrudni nauczyciela wych. przedszkolnego'];['4 000 zł - 4 700 zł zł / mies. brutto'];['Poznań, Jeżyce'];['Umowa o pracę'];['Pełny etat'];http://www.olx.pl/oferta/praca/przedszkole-niepubliczne-zatrudni-nauczyciela-wych-przedszkolnego-CID4-IDKkiHD.html
11;Szukamy  osoby do pracy na stanowisku PizzermanOd kandydatów oczekujemy:• przygotowywania zamówień według naszych standardów, dbania o najwyższą jakość i smak przygotowanych posiłków, dbania o pozytywny wizerunek restauracjiMiejsce pracy: WejherowoMile widziani studenci/uczniowieStawka do ustalenia - w zależności od doświadczeniaPo więcej informacji zapraszam na priv;['Do naszej pizzerii szukamy osoby na stanowisko: Pizzerman'];['22,80 zł - 27 zł zł / godz. brutto'];['Wejherowo'];['Umowa zlecenie'];['Pełny etat'];http://www.olx.pl/oferta/praca/do-naszej-pizzerii-szukamy-osoby-na-stanowisko-pizzerman-CID4-IDTZl3I.html
12;Poszukiwany pracownik biurowy do firmy transportowej.Nasze oczekiwania:Sumienność w wykonywaniu działańDokładnośćKomunikatywność Znajomość i łatwość w obsłudze komputeraMile widziane doświadczenie na podobnym stanowiskuBez ograniczeń wiekowych, praca 8 - 16Pracownicy z Ukrainy tylko ze znajomością języka polskiego w piśmie i mowieZapraszam do kontaktu;['Praca biurowa firma transportowa'];['3 800 zł - 4 000 zł zł / mies. brutto'];['Kalisz'];['Umowa o pracę'];['Pełny etat'];http://www.olx.pl/oferta/praca/praca-biurowa-firma-transportowa-CID4-IDUDBnK.html
13;Szukasz prostej pracy? Poszukujemy kandydatów i kandydatek do pracmagazynowych u dystrybutora częścisamochodowych. Oferujemy stałe zatrudnienie w oparciu o umowę zlecenia, z perspektywą przejścia na umowę o pracę w przyszłości.Brak ci doświadczenia w pracy na magazynie? Nie szkodzi - wszystkiego Cię nauczymy. Podczas rekrutacji zobaczysz halę i dowiesz się dokładnie na czymbędzie polecać Twoja praca.Zainteresowany/a? Aplikuj przez formularz już teraz.Chcesz dowiedzieć się więcej? Wyślij sms o treści MAGAZYN na numer podany w ogłoszeniu, a MY DO CIEBIE ODDZWONIMY i opowiemy Ci o szczegółach!Lokalizacja: Chorzów BatoryDobry dojazd liniami autobusowymi: 74, 130N, 139, 165, 632oferujemy- wolne weekendy (praca od poniedziałku do piątku) - zatrudnienie w oparciu o umowę zlecenie - wypłatę zawsze na czas – do 10-tego  - stawka godzinowa – 22,80 zł/h brutto  - program Poleć do Randstad – zdobądź dodatkowo 200 zł za każdą poleconą osobę*   - premia frekwencyjna zależna od wyrobionej ilości godzin  - możliwość przejścia bezpośrednio w struktury klienta na umowę o pracę po przepracowaniu minimum 6 miesięcy pracy  zadania- praca ze skanerem  - pakowanie produktów    - uzupełnianie stanów magazynowych   oczekujemy- dyspozycyjność do pracy w systemie 2-zmianowym   - jeżeli jesteś dyspozycyjny możesz pracować również w sobotę (w godzinach 10.00 – 18.00)   - regularnej obecności w pracy  - motywacji do pracy i zaangażowania   Agencja zatrudnienia – nr wpisu 47   ;['prace magazynowe -> praca ze skanerem'];['Chorzów'];['Pełny etat'];[];['Umowa zlecenie'];http://www.olx.pl/oferta/praca/prace-magazynowe-praca-ze-skanerem-CID4-IDUsw7g.html
14;Szukamy pracownika do działu sprzedaży, który pomoże nam w rozwoju sklepu internetowego. Osoba potrzebna od zaraz.   Oferujemy pracę w dynamicznym i kreatywnym zespole, w firmie o ugruntowanej pozycji na rynku hair and beauty. Do Twoich głównych zadań będzie należał rozwój oferty produktowej, polityka cenowa, ustalanie promocji cenowych. Dobrze, jeśli masz te umiejętności: Dobra znajomość Excel  Dobra znajomość Google Analytics   Doświadczenie w sprzedaży Umiejętność wykorzystywania w praktyce kompetencji biznesowych   Komunikatywność  Umiejętność podejmowania decyzji na podstawie analizy dostępnych danych  Logiczne myślenie i wyciąganie wniosków  Samodzielność   Główne zadania: Zarządzanie ofertą produktową (m.in. dodawanie nowych marek, kontakt z dostawcami) Rozwój platformy sprzedażowej Współtworzenie strategii rozwoju e-sklepu  Polityka cenowa i aktualizacja cenników  Analiza działań sprzedażowych  Analiza konkurencji  Śledzenie trendów i zmian rynkowych w branży e-commerce Kreowanie kultury współpracy biznesowej z partnerami Propozycje kampanii reklamowych i promocyjnych To oferujemy: Praca od poniedziałku do piątku w godzinach 8-16 Możliwość pracy zdalnej i hybrydowej Umowa o pracę Niezbędne do pracy sprzęty oraz oprogramowanie Lubimy ludzi kreatywnych i ambitnych, w związku z czym wspieramy ich rozwój. Zależy nam na zgranym zespole, dlatego wymieniamy się spostrzeżeniami, wspieramy się i staramy się nawzajem motywować oraz inspirować - to znacznie lepsze niż owocowe środy czy czekoladowe czwartki. Dajemy realną możliwość wprowadzania zmian i rozwoju platformy sprzedażowej, szukamy ludzi, którzy potrafią podejmować decyzje na podstawie danych. Nasi pracownicy mają zniżki w Hairstore  Kilka słów o Hairstore: Jesteśmy jednym z największych w Polsce sklepów online z profesjonalnymi produktami do pielęgnacji i stylizacji włosów. Współpracujemy z tak dużymi koncernami jak Loreal Professionel, Kerastase, Olaplex czy BaBylissPRO. Należymy do branży Hair and Beauty. Posiadamy obok sklepu hairstore.pl również drogerię internetową bodyland.pl. Pracujemy na systemie Enova i jesteśmy w trakcie migracji na Magento. Na co dzień korzystamy z Office365, a Microsoft Teams to nasz drugi dom.  ;['Specjalista ds. sprzedaży w sklepie internetowym - praca od zaraz!'];['Szczecin, Centrum'];['Pełny etat'];[];['Umowa o pracę'];http://www.olx.pl/oferta/praca/specjalista-ds-sprzedazy-w-sklepie-internetowym-praca-od-zaraz-CID4-IDUCYAl.html
15;"Ogłoszenie bezpośrednie, praca możliwa już od  22.05.2023 r. Poszukuje opiekuna lub opiekunki dla taty,  niesamodzielnego, lezącego, chorującego na stwardnienie boczne i zanik mięśni. 24 h , 6 dni w tygodniu  ( 1 dzień wolny ) .Darmowe zamieszkanie w prywatnym domu , całkowite wyżywienie. Praca w  Polsce, Wyszków woj. Mazowieckie . Wynagrodzenie 5000 netto, na rękę . Legalne zatrudnienie z opłaceniem składek ubezpieczeniowych i stosownych podatków. Możliwa premia.
Poszukuję ciepłej, dobrej i życzliwej osoby która umiałaby zaopiekować się pacjentem , także ugotować prosty obiad, bieżące sprzątanie . Przeszkolenie z opieki na miejscu . Praca na okres 4 – 6  miesięcy ( z możliwością przedłużenia). Jeżeli jesteś  w przedziale wiekowym 35-55 lat, dyspozycyjną, bez nałogów, energiczną, cierpliwą , odpowiedzialna, z doświadczeniem w opiece  -  zadzwoń .

 Пряме оголошення, можлива робота з 22.05.2023. Шукаю доглядальницю для тата, недієздатного, лежачого, хворого на бічний склероз і м'язову атрофію  24 години на добу. 6 днів на тиждень (1 вихідний) Безкоштовне прoживання в приватному будинку,харчування. Робота в Польщі, Вишків(Wyszków) воєводство Мазовецьке.Зарплата 5000 нетто, на руки.Легальне працевлаштування зі сплатою страхових внесків та відповідних податків. Можлива премія. Шукаю добру і приємну людину, яка змогла б доглядати за хворим, приготувати простий обід, прибирати.Навчання догляду на місці. Робота на термін 4-6 місяців (з можливістю продовження).Якщо вам 35-55 років, ви особа кваліфікована, без залежностей, енергійна, терпляча, відповідальна, з досвідом догляду - телефонуйте";['Bezpośrednio. PILNE. 5000 netto. Opiekuna/ke z zakwaterowaniem i wyżyw'];['5 500 zł - 6 400 zł zł / mies. brutto'];['Wyszków'];['Inny'];['Pełny etat'];http://www.olx.pl/oferta/praca/bezposrednio-pilne-5000-netto-opiekuna-ke-z-zakwaterowaniem-i-wyzyw-CID4-IDUBeE5.html
16;Praca na stanowiskuSprzedawca-Kasjer/Pracownik SUBWAY Miejsce pracy: Stacja LOTOS Wrocław ul. Karkonoska 49Praca dla osoby pracowitej, komunikatywnej uczciwej, lubiącej kontakt z ludźmi, szukającej stabilnego zatrudnienia na dłużej, również dla STUDENTKI/STUDENTA/UCZNIÓW SZKÓŁ ZAOCZNYCHRównież dla osób chcących dorobić w weekend. Nasza oferta:• Ciekawa i stabilna praca w systemie zmianowym• Przygotowywanie produktów i obsługa klienta• Obsługa klienta Stacji• Praca w dynamicznym zespole nastawionym na realizację celów• Szansa na zdobycie doświadczenia zawodowego i możliwość rozwoju• Premie za dobre wyniki pracy• Pakiet benefitów:1. Pakiet LUX MED2. Świadczenie wakacyjne3. Dofinansowanie do sportu i rekreacjiTwoje zadania:• Profesjonalna obsługa klienta zgodna ze standardami LOTOS• Dbanie o pozytywny wizerunek stacji LOTOS• Realizacja zadań sprzedażowych• Współpraca w zespoleNasze oczekiwania:• Chęć do pracy • Uczciwość, sumienność, odpowiedzialność, zaangażowanie.• Wysoka kultura osobistaOSOBY ZAINTERESOWANE PROSZĘ CV ;['Sprzedawca na stacji'];['3 850 zł - 5 000 zł zł / mies. brutto'];['Wrocław, Krzyki'];['Umowa o pracę'];['Pełny etat'];http://www.olx.pl/oferta/praca/sprzedawca-na-stacji-CID4-IDCKHcF.html
17;"Czas na DB - dołącz do zespołu DB Cargo Polska i realizuj z nami naszą misję, wizję i wartości! To dzięki naszym pracownikom jesteśmy wiodącym dostawcą usług logistycznych w Europie centralnej. DB Cargo Polska S.A. oferuje pracę na wyżej wymienionym stanowisku w Gdańsku w obszarze Usług Bocznicowych.  Opis stanowiska ·       Wykonywanie prac manewrowych na bocznicy kolejowej pod nadzorem kierownika manewrów, np. przy zestawianiu wagonów w składy pociągowe lub obsłudze punktów ładunkowych·       Obsługa przydzielonych zwrotnic w czasie wykonywania pracy manewrowej·       Zabezpieczenie pojazdów kolejowych przed zbiegnięciem·       Wykonywanie innych zadań produkcyjnych zleconych przez kierownika  Profil kandydata ·       Nie wymagamy doświadczenia zawodowego - zapewniamy szkolenie kolejowe na stanowisko manewrowego·       Mile widziane osoby, które poszukują swojej pierwszej pracyWykształcenie min. zawodowe·       Dyspozycyjność i gotowość do pracy w systemie zmianowym·       Gotowość do podnoszenia swoich kwalifikacji w zawodach kolejowych                                                                                                 Umiejętność współpracy w zespole; odpowiedzialność; otwartość i orientacja na klienta·       Mile widziane zainteresowanie branżą kolejową  Oferujemy ·       Dodatkowy dzień wolny od pracy·       Dofinansowanie do studiów oraz nauki języków obcych·       Pakiet Medicover Sport·       Prywatna opieka medyczna (LUX MED)·       Wczasy pod gruszą oraz dofinansowanie do „zielonych szkół"" i kolonii dla dzieci";['Pracownik Produkcji'];['Gdańsk, Aniołki'];['Pełny etat'];[];['Umowa o pracę'];http://www.olx.pl/oferta/praca/pracownik-produkcji-CID4-IDUDBkI.html
18;Zatrudnię kierowcę C+E. Jazda po kraju. Kursy w weekendy. Codzienne zjazdy na bazę. Stałe trasy. Szczegółowych informacji udzielę telefonicznie.;['Zatrudnię kierowcę C+E na weekendy'];['Mzurki'];['Niepełny etat'];[];['Umowa o pracę'];http://www.olx.pl/oferta/praca/zatrudnie-kierowce-c-e-na-weekendy-CID4-IDUhht0.html
19;"Kebab pod 13 zatrudni osobę master kebab przy stanowisku krojenie mięsa .Mile widziane osoby z doświadczeniem oraz do przyuczenia.Praca również w weekendy !!!
Stawka godz. na rękę od 27 zł-30 zł  w zależności od umiejętności.Wypłaty raz w tygodniu. Więcej informacji pod numerem tel.6********65 lub w lokalu kebab pod 13 Plac Wolnica 13 .";['Kebab pod 13 zatrudni'];['31 zł - 43 zł zł / godz. brutto'];['Kraków, Stare Miasto'];['Inny'];['Pełny etat'];http://www.olx.pl/oferta/praca/kebab-pod-13-zatrudni-CID4-IDUzsTG.html
20;"Firma Polok - Grupa Producentów Grzybów Sp. z o. o. zatrudni osobę na stanowisko Sprzątaczka / Pracownik porządkowy.Obowiązki:sprzątanie biur, korytarzy i części socjalnych firmy;Wymagania:sumienność i dokładność w wykonywaniu obowiązków;Oferujemy:stabilne zatrudnienie na podstawie umowy o pracę w rozwijającej się firmie,atrakcyjne wynagrodzenie uzależnione od zaangażowania,możliwość pracy na 1/2 etatu lub pełny etat,Więcej o nas: www.polokgroup.plZgłoszenia należy wysyłać wraz z załączonym CV.";['Sprzątaczka / Pracownik Porządkowy'];['Suszec'];['Pełny etat'];[];['Umowa o pracę'];http://www.olx.pl/oferta/praca/sprzataczka-pracownik-porzadkowy-CID4-IDUzsZ8.html
21;Tramontana Family & Wellness w Darłówku, poszukuje osób na stanowisko pokojowej oraz kelnerki na sezon letni.Poszukujemy osób z doświadczeniem w branży gastronomicznej, które posiadają wysoką kulturę osobistą oraz umiejętności komunikacyjne. Wymagamy również elastyczności w pracy i chęci do nauki.Oferujemy stabilne zatrudnienie w przyjaznej atmosferze oraz atrakcyjne wynagrodzenie. Praca na pełny etat.Jeśli spełniasz powyższe wymagania i chcesz dołączyć do naszego zespołu, prześlij swoje CV lub skontaktuj się telefonicznie.Prosimy o dopisanie w tytule maila stanowiska, na które aplikujesz.Zapraszamy do aplikowania!;['Pokojowa | Kelnerka - Pensjonat w Darłówku'];['25 zł - 27 zł zł / godz. brutto'];['Darłowo, Darłówko'];['Umowa zlecenie'];['Dodatkowa / sezonowa'];http://www.olx.pl/oferta/praca/pokojowa-kelnerka-pensjonat-w-darlowku-CID4-IDUzs33.html
22;Prywatna Przychodnia Specjalistyczna w Wołominie pod Warszawą Zatrudni lekarza dentystę. Serdecznie zapraszamy do współpracy, gwarantujemy bardzo dobre warunki pracy.;['Lekarza dentystę zatrudni Przychodnia  w Wołominie koło Warszawy.'];['Ząbki'];['Niepełny etat'];[];['Samozatrudnienie'];http://www.olx.pl/oferta/praca/lekarza-dentyste-zatrudni-przychodnia-w-wolominie-kolo-warszawy-CID4-IDPiA3n.html
23;OpisMasz doświadczenie w pracy na kuchni i chcesz pracować na cały etat lub chciałbyś pracować na część etatu aby zarobić na swoje studia lub szkołę?A może chcesz zacząć swoją przygodę z gastronomią lub rozwinąć swoje umiejętności i poznać prawdziwą amerykańską kuchnię?To znak, że u Nas zrealizujesz swoje plany, a my czekamy właśnie na Ciebie.Wymagamy:uśmiechu oraz pozytywnego nastawienia do pracyumiejętności pracy w zespolezaangażowania w powierzone zadaniaOferujemy:indywidualne szkolenia stanowiskowe pod okiem Szefa Kuchni i Shift Leaderapozytywną atmosferę w pracyelastyczny grafik miesięczny dostosowany do Twoich zajęć na uczelni / w szkolestabilną pracęStawkę godzinową za pracę ustalamy indywidualnie na rozmowie kwalifikacyjnej w zależności od doświadczenia lub jego braku.;['Restauracja zatrudni kucharza również bez doświadczenia'];['Warszawa, Wola'];['Niepełny etat'];[];['Inny'];http://www.olx.pl/oferta/praca/restauracja-zatrudni-kucharza-rowniez-bez-doswiadczenia-CID4-IDPcrFC.html
24;Restauracja w Częstochowie zatrudni kelnerkę. Praca w miłym i młodym zespole w przyjaznej atmosferze. Mile widziane doświadczenie w gastronomii.. CV ze zdjęciem prosimy wysyłać poprzez olx. Więcej szczegółów omówimy na indywidualnej rozmowie.;['Kelnerka do restauracji'];['Częstochowa, Śródmieście'];['Niepełny etat'];[];['Inny'];http://www.olx.pl/oferta/praca/kelnerka-do-restauracji-CID4-IDKLj3q.html
25;Restauracja 7th street poszukuje osób na stanowisko Kelnerka/Kelner.Oferujemy:pracę w klimatycznym miejscu z ludźmi mającymi wieloletnie doświadczenie gastronomicznezatrudnienie w oparciu o umowę zlecenie - na początek 20 złposiłki pracowniczestałe zatrudnieniepracę dwuzmianowąOczekujemy:pozytywnego nastawienia do pracywysokiej kultury osobistejProszę o wysyłanie CV lub kontakt telefoniczny pod nr 50*******20;['Kelnerkę/Kelnera - Warszawa Wawer'];['20 zł - 21 zł zł / godz. brutto'];['Warszawa, Wawer'];['Umowa zlecenie'];['Pełny etat'];http://www.olx.pl/oferta/praca/kelnerke-kelnera-warszawa-wawer-CID4-IDUuwSR.html
